SerialNumber,Red,Green,Blue,Date,Label
164,2.1197,2.6812,5.9032,2016-Apr-26,PostIRCorrection
165,1.9382,2.6184,5.0723,,Original
165,,,,,
165,,,,,
166,1.9702,2.7091,5.1826,,Original
166,2.0922,2.845,5.3157,2016-Mar-11,PreIRCorrection
166,2.0414,2.733,5.1841,2016-Mar-14,PostIRCorrection
167,1.8426,2.4619,4.5508,,Original
167,2.0079,2.6169,5.4789,2016-Mar-18,PreIRCorrection
167,2.0224,2.6083,5.4569,2016-Apr-07,PostIRCorrection
168,2.1138,3.1464,5.2174,,Original
168,2.1994,2.9474,6.1928,2016-Mar-15,PreIRCorrection
168,2.2889,3.0826,6.4539,2016-Apr-06,PostIRCorrection
169,1.828,2.4754,4.3684,,Original
169,2.0062,2.6966,5.2261,2016-Mar-18,PreIRCorrection
169,2.0441,2.6881,5.328,2016-Apr-07,PostIRCorrection
170,1.9158,2.5415,4.8764,,Original
170,2.1806,2.8277,6.18,2016-Mar-11,PreIRCorrection
170,2.1117,2.7339,5.8759,2016-Mar-14,PostIRCorrection
171,1.814,2.529,4.3849,,Original
171,2.0299,2.7919,5.3934,2016-Apr-20,PreIRCorrection
171,2.0834,2.8478,5.4064,2016-Apr-25,PostIRCorrection
172,1.7903,2.5759,4.884,,Original
172,1.9517,2.7715,5.9546,2016-Apr-20,PreIRCorrection
172,1.9778,2.8053,5.9434,2016-Apr-25,PostIRCorrection
173,2.1402,2.9346,5.1437,,Original
173,2.1242,2.6588,5.931,2016-Apr-20,PreIRCorrection
173,2.1344,2.6607,5.8599,2016-Apr-25,PostIRCorrection
174,2.3123,3.2244,6.035,,Original
174,1.9599,2.7182,5.5667,2016-Apr-26,PreIRCorrection
174,1.9811,2.7261,5.5576,2016-Apr-28,PostIRCorrection
175,1.8455,2.4312,4.5024,,Original
175,2.0084,2.6515,5.4744,2016-Apr-20,PreIRCorrection
175,2.0408,2.6784,5.4661,2016-Apr-25,PostIRCorrection
176,1.9612,2.5503,4.9467,,Original
176,2.12,2.8059,5.7579,2016-Apr-20,PreIRCorrection
176,2.0566,2.6732,5.5116,2016-Apr-25,PostIRCorrection
177,1.8418,2.4241,4.5045,,Original
177,2.0801,2.6671,5.5875,2016-Apr-20,PreIRCorrection
177,2.0434,2.606,5.4211,2016-Apr-25,PostIRCorrection
178,1.0001,1.059,0.962,,Original
178,2.1583,2.9531,5.97,2016-Apr-20,PreIRCorrection
178,2.1155,2.8815,5.763,2016-Apr-25,PostIRCorrection
179,1.9809,3.1286,5.0907,,Original
179,1.9612,2.7441,5.6625,2016-Apr-20,PreIRCorrection
179,1.9949,2.782,5.7132,2016-Apr-25,PostIRCorrection
180,NaN,NaN,NaN,,Original
180,,,,,
180,,,,,
181,1.9565,2.88,4.9587,,Original
181,2.0301,2.8201,6.002,2016-Apr-20,PreIRCorrection
181,2.005,2.7448,5.8362,2016-Apr-25,PostIRCorrection
182,1.8517,2.5281,4.678,,Original
182,2.009,2.7001,5.6407,2016-Feb-24,PreIRCorrection
182,2.032,2.7347,5.7113,2016-Mar-04,PostIRCorrection
183,1.9102,2.5956,4.6496,,Original
183,2.0762,2.7807,5.5771,2016-Mar-07,PreIRCorrection
183,2.5665,3.3991,7.5746,2016-Mar-10,PostIRCorrection
184,1.8929,2.5609,4.7248,,Original
184,2.0674,2.7625,5.6403,2016-Mar-07,PreIRCorrection
184,2.0867,2.7521,5.8925,2016-Mar-10,PostIRCorrection
185,2.0199,3.1388,4.9735,,Original
185,2.2828,3.3194,5.9978,2016-Feb-25,PreIRCorrection
